Player_ID,Player_Name,Gender,Age,Country,Team,Position,Sport_Type,Match_ID,Tournament,Match_Date,Opponent_Team,Venue,City,Score,Assists,Goals,Wickets,Minutes_Played,Rating,Match_Fee,Bonus,Sponsorship_Amount,Ticket_Sales,Fan_ID,Ticket_Type,Payment_Mode,Feedback_Score,Coach_Name,Win_Status,unfied_Record,Total_Earning,Performence_Score,Merch_Sales,Revenue,Age_group,Performance_level,gender_numeric,Win_status_numeric
p9328,john,female,21,germany,team c,goalkeeper,cricket,m41358,league,01-01-2021,team a,ground 3,sydney,131,9,2,4,82,3.85,1214.21,1810.42,1688.77,4113.18,f49537,regular,cash,2,rahul,win,p9328-f49537,4713.4,171,0,4113.18,adult,low,2,1
p4328,amit,male,25,india,team e,defender,tennis,m50889,friendly,02-01-2021,team a,court 4,delhi,26,0,3,3,97,3.02,4190.78,1898.99,9406.43,2615.72,f19872,regular,online,2,anderson,draw,p4328-f19872,15496.2,47,0,2615.72,adult,low,1,3
p3973,liu,female,29,usa,team b,forward,tennis,m55400,championship,05-01-2021,team e,ground 3,sydney,66,7,2,2,88,7.51,1590.06,1890.27,8615.02,1670.93,f75194,vvip,credit card,5,patel,win,p3973-f75194,12095.35,94,0,1670.93,adult,high,2,1
p5937,mike,male,22,australia,team c,goalkeeper,basketball,m74023,championship,05-01-2021,team b,ground 3,london,115,3,4,0,57,9.41,560.93,1283.18,8546.91,9724.55,f97799,vvip,online,1,rahul,win,p5937-f97799,10391.02,133,0,9724.55,adult,high,1,1
p6850,amit,male,41,germany,team c,goalkeeper,cricket,m41653,championship,06-01-2021,team c,stadium 1,new york,115,2,4,3,73,7.85,4772.76,1951.77,8559.92,3498.28,f70291,regular,cash,5,patel,win,p6850-f70291,15284.45,143,0,3498.28,senior,high,1,1
p2480,david,female,41,south africa,team a,defender,tennis,m97295,championship,06-01-2021,team a,stadium 1,sydney,10,2,2,1,109,7.65,4795.86,347.42,1430.6,8355.44,f96973,vip,cash,5,smith,win,p2480-f96973,6573.88,24,0,8355.44,senior,high,2,1
p6934,priya,female,36,south africa,team c,bowler,tennis,m58239,championship,08-01-2021,team e,stadium 1,london,84,6,4,2,117,2.06,3281.9,1873.04,5553.53,1752.74,f39690,vvip,cash,4,smith,lose,p6934-f39690,10708.47,116,0,1752.74,senior,low,2,2
p6301,maria,male,19,uk,team c,batsman,basketball,m56318,league,09-01-2021,team e,court 4,new york,99,4,4,4,48,9.42,3069.76,18.21,7510.88,4614.85,f32533,nan,credit card,2,lee,lose,p6301-f32533,10598.85,135,0,4614.85,junior,high,1,2
p4669,carlos,male,39,brazil,team d,forward,cricket,m76104,world cup,10-01-2021,team c,arena 2,delhi,42,6,2,2,118,2.03,4447.75,1479.99,1427.12,7747.85,f15355,nan,online,4,patel,lose,p4669-f15355,7354.86,68,0,7747.85,senior,low,1,2
p9946,david,male,42,brazil,team d,goalkeeper,cricket,m95482,world cup,10-01-2021,team d,stadium 1,berlin,118,9,0,1,28,7.71,1210.15,1269.38,6702.3,4187.61,f65826,vvip,cash,2,lee,lose,p9946-f65826,9181.83,140,0,4187.61,senior,high,1,2
